IMO,ShipName,ShipType,DistanceNm,Fuel_tonnes,CO2_tonnes,DWT,Cargo
9186235,General cargo ship,General cargo ship,0.0,3110.11,5298.205,4.89,
9186352,Chemical tanker,Chemical tanker,254.6,4143.8,13285.02,,
9186417,Ro-ro ship,Ro-ro ship,0.0,3420.4,5924.575,,
9186429,Ro-ro ship,Ro-ro ship,0.0,8522.44,26565.54,,
9187033,General cargo ship,General cargo ship,0.0,3407.19,6448.665,5.29,
9187057,Oil tanker,Oil tanker,0.0,2520.31,7518.76,,
9187409,Chemical tanker,Chemical tanker,0.0,821.58,1720.17,,
9190157,Ro-ro ship,Ro-ro ship,0.0,5765.62,7049.305,,
9192129,Ro-ro ship,Ro-ro ship,0.0,6576.93,20433.265,,
9192375,Chemical tanker,Chemical tanker,0.0,3726.59,9324.805,,
9195133,Vehicle carrier,Vehicle carrier,0.0,2940.58,6993.99,,
9195145,Vehicle carrier,Vehicle carrier,0.0,2926.05,7054.15,,
9196163,General cargo ship,General cargo ship,0.0,1860.49,4485.175,7.98,
9197363,General cargo ship,General cargo ship,0.0,6169.22,11044.52058,10.37,
9197375,General cargo ship,General cargo ship,0.0,5547.01,10764.52304,9.4,
9197533,Ro-ro ship,Ro-ro ship,0.0,10716.92,33415.69,,
9197911,General cargo ship,General cargo ship,0.0,5768.63,10591.58913,9.6,
9197947,General cargo ship,General cargo ship,0.0,6367.63,11810.09403,9.2,
9198721,Ro-ro ship,Ro-ro ship,0.0,2234.98,4369.87,,
9198977,Ro-ro ship,Ro-ro ship,0.0,9485.9,16038.975,,
